pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
4696,3,62643030,151184020,151204972,20952,10000
4696,3,62643030,151216147,151237099,20952,10000
4696,3,62643030,151248553,151269505,20952,10000
4696,3,62643030,151280959,151301912,20953,10000
4696,3,62643030,151313366,151334318,20952,10000
4696,3,62643030,151345493,151366445,20952,10000
4696,3,62643030,151377899,151398851,20952,10000
4696,3,62643030,151410305,151431258,20953,10000
4696,3,62643030,151442712,151463664,20952,10000
4696,3,62643030,151474839,151495791,20952,10000
4696,3,62643030,151507245,151528197,20952,10000
4696,3,62643030,151539651,151560604,20953,10000
4696,3,62643030,151572058,151592731,20673,10000
4696,3,62643030,151604185,151625416,21231,10000
4696,3,62643030,151636870,151657543,20673,10000
4696,3,62643030,151669277,151690229,20952,10000
4696,3,62643030,151701683,151722635,20952,10000
4696,3,62643030,151734089,151755042,20953,10000
4696,3,62643030,151766496,151787448,20952,10000
4696,3,62643030,151798902,151819855,20953,10000
4696,3,62643030,151831309,151851982,20673,10000
4696,3,62643030,151863436,151884388,20952,10000
4696,3,62643030,151895842,151916794,20952,10000
4696,3,62643030,151927969,151948921,20952,10000
4696,3,62643030,151960375,151981328,20953,10000
4696,3,62643030,151992502,152013455,20953,10000
4696,3,62643030,152024909,152045861,20952,10000
4696,3,62643030,152057315,152077988,20673,10000
4696,3,62643030,152089442,152110394,20952,10000
4696,3,62643030,152121848,152142801,20953,10000
4696,3,62643030,152153975,152174928,20953,10000
4696,3,62643030,152186382,152207334,20952,10000
4696,3,62643030,152218788,152239740,20952,10000
4696,3,62643030,152250915,152271867,20952,10000
4696,3,62643030,152283321,152304274,20953,10000
4696,3,62643030,152315448,152336401,20953,10000
4696,3,62643030,152347855,152368807,20952,10000
4696,3,62643030,152379982,152400934,20952,10000
4696,3,62643030,152412388,152433061,20673,10000
4696,3,62643030,152444515,152465467,20952,10000
4696,3,62643030,152476921,152497594,20673,10000
4696,3,62643030,152509048,152530001,20953,10000
4696,3,62643030,152541455,152562128,20673,10000
4696,3,62643030,152573582,152594534,20952,10000
4696,3,62643030,153789658,154033544,243886,10000
4696,3,62643030,154271842,154354534,82692,10000
4696,3,62643030,154376325,154401468,25143,10000
4696,3,62643030,154413201,154434712,21511,10000
4696,3,62643030,154446725,154467398,20673,10000
4696,3,62643030,154478852,154499804,20952,10000
4696,3,62643030,154511258,154531931,20673,10000
4696,3,62643030,154543385,154564337,20952,10000
4696,3,62643030,154575512,154596464,20952,10000
4696,3,62643030,154607918,154629150,21232,10000
4696,3,62643030,154640604,154662115,21511,10000
4696,3,62643030,154675525,154696477,20952,10000
4696,3,62643030,154708210,154729442,21232,10000
4696,3,62643030,154741176,154762128,20952,10000
4696,3,62643030,154773582,154795093,21511,10000
4696,3,62643030,154806826,154827779,20953,10000
4696,3,62643030,154839233,154860464,21231,10000
4696,3,62643030,154871918,154893150,21232,10000
4696,3,62643030,154904604,154925277,20673,10000
4696,3,62643030,154936731,154957684,20953,10000
4696,3,62643030,154969417,154990369,20952,10000
4696,3,62643030,155002103,155023055,20952,10000
4696,3,62643030,155034788,155056020,21232,10000
4696,3,62643030,155067474,155088426,20952,10000
4696,3,62643030,155099880,155120833,20953,10000
4696,3,62643030,155132287,155153239,20952,10000
4696,3,62643030,155164972,155186204,21232,10000
4696,3,62643030,155197658,155218611,20953,10000
4696,3,62643030,155230344,155251296,20952,10000
4696,3,62643030,155263030,155284261,21231,10000
4696,3,62643030,155295715,155316668,20953,10000
4696,3,62643030,155328122,155349074,20952,10000
4696,3,62643030,155360807,155381760,20953,10000
4696,3,62643030,155392934,155414166,21232,10000
4696,3,62643030,155425899,155447411,21512,10000
4696,3,62643030,155459144,155480376,21232,10000
4696,3,62643030,155492109,155513061,20952,10000
4696,3,62643030,155524515,155545468,20953,10000
4696,3,62643030,155556922,155577874,20952,10000
4696,3,62643030,155589049,155610001,20952,10000
4696,3,62643030,155621455,155642128,20673,10000
4696,3,62643030,155653582,155674534,20952,10000
4696,3,62643030,155685709,155706661,20952,10000
4696,3,62643030,155718115,155738788,20673,10000
4696,3,62643030,155750242,155771195,20953,10000
4696,3,62643030,155782649,155803322,20673,10000
4696,3,62643030,155814776,155835728,20952,10000
4696,3,62643030,155846903,155867855,20952,10000
4696,3,62643030,155879030,155899982,20952,10000
4696,3,62643030,155911436,155932388,20952,10000
4696,3,62643030,155943563,155964515,20952,10000
4696,3,62643030,155975969,155996922,20953,10000
4696,3,62643030,156008376,156029049,20673,10000
4696,3,62643030,156040503,156061455,20952,10000
4696,3,62643030,156072630,156093582,20952,10000
4696,3,62643030,156104757,156125709,20952,10000
4696,3,62643030,156137163,156158115,20952,10000
4696,3,62643030,156169569,156190242,20673,10000
4696,3,62643030,156201696,156222649,20953,10000
4696,3,62643030,156233823,156254776,20953,10000
4696,3,62643030,156266230,156287182,20952,10000
4696,3,62643030,156298357,156319309,20952,10000
4696,3,62643030,156330763,156351436,20673,10000
4696,3,62643030,156362890,156383563,20673,10000
4696,3,62643030,156395017,156415969,20952,10000
4696,3,62643030,156427423,156449773,22350,10000
4696,3,62643030,156463182,156485252,22070,10000
4696,3,62643030,156499500,156524642,25142,10000
4696,3,62643030,156539169,156564592,25423,10000
4696,3,62643030,156579398,156605658,26260,10000
4696,3,62643030,156620744,156645608,24864,10000
4696,3,62643030,156660135,156685557,25422,10000
4696,3,62643030,156700642,156725785,25143,10000
4696,3,62643030,156740312,156744503,4191,10000
4696,3,62643030,156817696,156842560,24864,10000
4696,3,62643030,156857646,156882230,24584,10000
4696,3,62643030,157068008,157937951,869943,10000
4696,3,62643030,157953595,157975106,21511,10000
4696,3,62643030,157986839,158008351,21512,10000
4696,3,62643030,158019805,158041036,21231,10000
4696,3,62643030,158052490,158073722,21232,10000
4696,3,62643030,158085176,158106128,20952,10000
4696,3,62643030,158117582,158138535,20953,10000
4696,3,62643030,158149709,158170382,20673,10000
4696,3,62643030,158181557,158202230,20673,10000
4696,3,62643030,158213405,158234078,20673,10000
4696,3,62643030,158244973,158244973,0,10000
4696,3,62643030,158244973,158244973,0,10000
4696,3,62643030,158244973,158244973,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158245252,158245252,0,10000
4696,3,62643030,158771017,158794205,23188,10000
4696,3,62643030,158805379,158826052,20673,10000
4696,3,62643030,158837227,158858179,20952,10000
4696,3,62643030,158869354,158890027,20673,10000
4696,3,62643030,158901201,158921874,20673,10000
4696,3,62643030,158933328,158954001,20673,10000
4696,3,62643030,158965176,158985849,20673,10000
4696,3,62643030,158997024,159017697,20673,10000
4696,3,62643030,159028871,159049544,20673,10000
4696,3,62643030,159060719,159081392,20673,10000
4696,3,62643030,159092567,159113240,20673,10000
4696,3,62643030,159124414,159145087,20673,10000
4696,3,62643030,159156262,159176935,20673,10000
4696,3,62643030,159188109,159208782,20673,10000
4696,3,62643030,159219957,159240630,20673,10000
4696,3,62643030,159251805,159272478,20673,10000
4696,3,62643030,159283652,159304605,20953,10000
4696,3,62643030,159315779,159336173,20394,10000
4696,3,62643030,159347348,159368300,20952,10000
4696,3,62643030,159379475,159399868,20393,10000
4696,3,62643030,159411322,159431995,20673,10000
4696,3,62643030,159443170,159463843,20673,10000
4696,3,62643030,159475017,159495690,20673,10000
4696,3,62643030,159506865,159527538,20673,10000
4696,3,62643030,159538713,159559386,20673,10000
4696,3,62643030,159570560,159591233,20673,10000
4696,3,62643030,159602408,159623081,20673,10000
4696,3,62643030,159634256,159654929,20673,10000
4696,3,62643030,159666103,159686776,20673,10000
4696,3,62643030,159697951,159718624,20673,10000
